Filename,File Size (bytes),CPU before (%),CPU after (%),RAM before (MB),RAM after (MB),Processing Time (seconds),Route Type
tess,1048576,0.0,13.5,6162.87109375,6168.5390625,0.19144463539123535,upload
tessgZ59yhi.pdf,1048592,0.0,4.8,6263.75,6269.74609375,0.12120532989501953,download
tes,5242880,0.0,2.6,6160.3046875,6177.8046875,0.14515995979309082,upload
tesUXYByvN.pdf,5242896,0.0,4.3,6165.15234375,6182.43359375,0.12845253944396973,download
tes3,10485760,0.0,7.1,6165.3671875,6182.24609375,0.13354802131652832,upload
tes37cdpnMW.pdf,10485776,0.0,3.9,6171.54296875,6190.796875,0.1439516544342041,download
tes4,104857600,0.0,6.6,6169.16015625,6370.4921875,1.115509033203125,upload
tes4zrMVQyy.pdf,104857616,0.0,7.1,6172.9140625,6387.63671875,0.48420286178588867,download
